VariabelenaamODiN2023	VariabelelabelODiN2023	Niveau	CodeODiN2023	CodelabelODiN2023	Korteomschrijving	G	H	I	J	K	L
""	""	""	"12"	"Basisregio Zuid-Kennemerland"	""						
""	""	""	"13"	"Basisregio Meerlanden"	""						
""	""	""	"14"	"Basisregio Amstelland"	""						
""	""	""	"15"	"Basisregio Gooi en Vechtstreek"	""						
""	""	""	"16"	"Basisregio Almere + Zeewolde"	""						
""	""	""	"17"	"Basisregio Lelystad + Dronten"	""						
""	""	""	"18"	"Noord-Holland Noord – Regio Alkmaar"	""						
""	""	""	"19"	"Noord-Holland Noord – West-Friesland"	""						
""	""	""	"20"	"Noord-Holland Noord – Kop van Noord-Holland"	""						
""	""	""	"21"	"Urk & Noordoostpolder"	""						
""	""	""	"22"	"Rest Nederland"	""						
"MRDH"	"Metropoolregio Rotterdam Den Haag"	"P"	""	""	"Zie tabblad MRDH voor een toelichting op de geografische indeling."						
""	""	""	"1"	"Den Haag Centrum"	""						
""	""	""	"2"	"Den Haag Zuidwest"	""						
""	""	""	"3"	"Den Haag Noordwest"	""						
""	""	""	"4"	"Den Haag Oost"	""						
""	""	""	"5"	"Haaglanden Zuidwest"	""						
""	""	""	"6"	"Haaglanden Zuid"	""						
""	""	""	"7"	"Haaglanden Oost"	""						
""	""	""	"8"	"Haaglanden Noord"	""						
""	""	""	"9"	"Rotterdam Noord - zuid"	""						
""	""	""	"10"	"Rotterdam Noord - noordoost"	""						
""	""	""	"11"	"Rotterdam Noord - noordwest"	""						
""	""	""	"12"	"Rotterdam Zuid"	""						
""	""	""	"13"	"Rijnmond Noordwest"	""						
""	""	""	"14"	"Rijnmond Noord/Noordoost"	""						
""	""	""	"15"	"Rozenburg en Voorne Putten"	""						
""	""	""	"16"	"Rijnmond Zuid/Zuidoost"	""						
""	""	""	"17"	"Rest Zuid-Holland"	""						
""	""	""	"18"	"Rest Nederland"	""						
"Utr"	"Provincie Utrecht"	"P"	""	""	"Zie tabblad Utr voor een toelichting op de geografische indeling."						
""	""	""	"1"	"De Ronde Venen en Stichtse Vecht (noord)"	""						
""	""	""	"2"	"Stichtse Vecht (zuid)"	""						
""	""	""	"3"	"Woerden"	""						
""	""	""	"4"	"Lopik, Montfoort, IJsselstein en Oudewater"	""						
""	""	""	"5"	"Vijfheerenlanden"	""						
""	""	""	"6"	"De Bilt en Zeist (noord)"	""						
""	""	""	"7"	"Zeist (zuid)"	""						
""	""	""	"8"	"Nieuwegein"	""						
""	""	""	"9"	"Houten "	""						
""	""	""	"10"	"Utrechtse Heuvelrug (west) en Bunnik"	""						
""	""	""	"11"	"Utrechtse Heuvelrug (oost), Wijk bij Duurstede en Rhenen"	""						
""	""	""	"12"	"Renswoude en Veenendaal"	""						
""	""	""	"13"	"Baarn, Eemnes en Soest (noord)"	""						
""	""	""	"14"	"Amersfoort (zuid), Leusden, Soest (zuid) en Woudenberg"	""						
""	""	""	"15"	"Amersfoort (midden)"	""						
""	""	""	"16"	"Amersfoort (noord) en Bunschoten"	""						
""	""	""	"17"	"Utrecht: West, Noordwest en Overvecht"	""						
""	""	""	"18"	"Utrecht: Noordoost en Oost"	""						
""	""	""	"19"	"Utrecht: Binnenstad,  Zuid en Zuidwest"	""						
""	""	""	"20"	"Utrecht: Leidsche Rijn en Vleuten-De Meern"	""						
""	""	""	"21"	"Rest Nederland"	""						
"Geslacht"	"Geslacht OP"	"P"	""	""	""						
""	""	""	"1"	"Man"	""						
""	""	""	"2"	"Vrouw"	""						
"Leeftijd"	"Leeftijd OP"	"P"	""	""	""						
""	""	""	"6..98"	""	""						
""	""	""	"99"	"99 jaar of ouder"	""						
"KLeeft"	"Leeftijdsklasse OP"	"P"	""	""	""						
""	""	""	"2"	"6 t/m 11 jaar"	""						
""	""	""	"3"	"12 t/m 14 jaar"	""						
""	""	""	"4"	"15 t/m 17 jaar"	""						
""	""	""	"5"	"18 t/m 19 jaar"	""						
""	""	""	"6"	"20 t/m 24 jaar"	""						
""	""	""	"7"	"25 t/m 29 jaar"	""						
""	""	""	"8"	"30 t/m 34 jaar"	""						
""	""	""	"9"	"35 t/m 39 jaar"	""						
""	""	""	"10"	"40 t/m 44 jaar"	""						
""	""	""	"11"	"45 t/m 49 jaar"	""						
""	""	""	"12"	"50 t/m 54 jaar"	""						
""	""	""	"13"	"55 t/m 59 jaar"	""						
""	""	""	"14"	"60 t/m 64 jaar"	""						
""	""	""	"15"	"65 t/m 69 jaar"	""						
""	""	""	"16"	"70 t/m 74 jaar"	""						
""	""	""	"17"	"75 t/m 79 jaar"	""						
""	""	""	"18"	"80 jaar of ouder"	""						
"HerkLand"	"Herkomstland OP"	"P"	""	""	"Zie tabblad Toelichting."						
""	""	""	"1"	"Nederland"	""						
""	""	""	"2"	"Europa (excl. Nederland)"	""						
""	""	""	"3"	"Buiten-Europa (incl. onbekend)"	""						
"BetWerk"	"Betaald werk OP"	"P"	""	""	""						
""	""	""	"0"	"Geen betaald werk"	""						
""	""	""	"1"	"Minder dan 12 uur per week"	""						
""	""	""	"2"	"12 tot 30 uur per week"	""						
""	""	""	"3"	"30 uur per week of meer"	""						
""	""	""	"4"	"Onbekend"	""						
""	""	""	"5"	"Niet gevraagd; OP jonger dan 15 jaar"	""						
"OnbBez"	"Onbetaalde bezigheid OP"	"P"	""	""	""						
""	""	""	"0"	"Geen onbetaalde bezigheid"	""						
""	""	""	"1"	"Huisvrouw/huisman"	""						
""	""	""	"2"	"Gepensioneerd/VUT"	""						
""	""	""	"3"	"Scholier/student"	""						
""	""	""	"4"	"Arbeidsongeschikt"	""						
""	""	""	"5"	"Werkloos"	""						
""	""	""	"6"	"Onbetaald werkend"	""						
""	""	""	"7"	"Anders"	""						
""	""	""	"8"	"Onbekend"	""						
""	""	""	"9"	"Niet gevraagd; OP jonger dan 15 jaar"	""						
"MaatsPart"	"Maatschappelijke participatie OP"	"P"	""	""	""						
""	""	""	"1"	"Werkzaam 12 tot 30 uur per week"	""						
""	""	""	"2"	"Werkzaam 30 uur of meer per week"	""						
""	""	""	"3"	"Eigen huishouding"	""						
""	""	""	"4"	"Scholier/student"	""						
""	""	""	"5"	"Werkloos"	""						
""	""	""	"6"	"Arbeidsongeschikt"	""						
""	""	""	"7"	"Gepensioneerd/VUT"	""						
""	""	""	"8"	"Overig"	""						
""	""	""	"9"	"Onbekend"	""						
"Opleiding"	"Hoogst voltooide opleiding OP"	"P"	""	""	""						
""	""	""	"0"	"Geen opleiding voltooid"	""						
""	""	""	"1"	"Basisonderwijs, lager onderwijs"	""						
""	""	""	"2"	"Lager beroepsonderwijs of vmbo, vbo, lwoo, vso, vglo, mavo, ulo, mulo "	""						
""	""	""	"3"	"Middelbaar beroepsonderwijs of havo, atheneum, gymnasium, mms, hbs"	""						
""	""	""	"4"	"Hoger beroepsonderwijs, universiteit"	""						
""	""	""	"5"	"Andere opleiding"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet gevraagd; OP jonger dan 15 jaar"	""						
"HHBestInkG"	"Besteedbaar inkomen van het huishouden (10% groepen)"	"P"	""	""	"Zie tabblad Toelichting."						
""	""	""	"1"	"Eerste 10% groep"	""						
""	""	""	"2"	"Tweede 10% groep"	""						
""	""	""	"3"	"Derde 10% groep"	""						
""	""	""	"4"	"Vierde 10% groep"	""						
""	""	""	"5"	"Vijfde 10% groep"	""						
""	""	""	"6"	"Zesde 10% groep"	""						
""	""	""	"7"	"Zevende 10% groep"	""						
""	""	""	"8"	"Achtste 10% groep"	""						
""	""	""	"9"	"Negende 10% groep"	""						
""	""	""	"10"	"Tiende 10% groep"	""						
""	""	""	"11"	"Inkomen onbekend"	""						
"HHGestInkG"	"Gestandaardiseerd besteedbaar inkomen van het huishouden (10% groepen)"	"P"	""	""	"Zie tabblad Toelichting."						
""	""	""	"1"	"Eerste 10% groep"	""						
""	""	""	"2"	"Tweede 10% groep"	""						
""	""	""	"3"	"Derde 10% groep"	""						
""	""	""	"4"	"Vierde 10% groep"	""						
""	""	""	"5"	"Vijfde 10% groep"	""						
""	""	""	"6"	"Zesde 10% groep"	""						
""	""	""	"7"	"Zevende 10% groep"	""						
""	""	""	"8"	"Achtste 10% groep"	""						
""	""	""	"9"	"Negende 10% groep"	""						
""	""	""	"10"	"Tiende 10% groep"	""						
""	""	""	"11"	"Inkomen onbekend"	""						
"HHLaagInk"	"Afwijking lage-inkomensgrens"	"P"	""	""	"Zie tabblad Toelichting."						
""	""	""	"1"	"Inkomen tot 80% lage-inkomensgrens"	""						
""	""	""	"2"	"Inkomen van 80% tot 85% lage-inkomensgrens"	""						
""	""	""	"3"	"Inkomen van 85% tot 90% lage-inkomensgrens"	""						
""	""	""	"4"	"Inkomen van 90% tot 95% lage-inkomensgrens"	""						
""	""	""	"5"	"Inkomen van 95% tot 100% lage-inkomensgrens"	""						
""	""	""	"6"	"Inkomen van 100% tot 105% lage-inkomensgrens"	""						
""	""	""	"7"	"Inkomen van 105% tot 110% lage-inkomensgrens"	""						
""	""	""	"8"	"Inkomen van 110% lage-inkomensgrens of hoger"	""						
""	""	""	"9"	"Inkomen onbekend"	""						
"HHSocInk"	"Afwijking sociaal minimum"	"P"	""	""	"Zie tabblad Toelichting."						
""	""	""	"1"	"Inkomen tot 101% sociaal minimum"	""						
""	""	""	"2"	"Inkomen van 101% tot 105% sociaal minimum"	""						
""	""	""	"3"	"Inkomen van 105% tot 110% sociaal minimum"	""						
""	""	""	"4"	"Inkomen van 110% tot 115% sociaal minimum"	""						
""	""	""	"5"	"Inkomen van 115% tot 120% sociaal minimum"	""						
""	""	""	"6"	"Inkomen van 120% tot 130% sociaal minimum"	""						
""	""	""	"7"	"Inkomen van 130% tot 140% sociaal minimum"	""						
""	""	""	"8"	"Inkomen van 140% tot 150% sociaal minimum"	""						
""	""	""	"9"	"Inkomen van 150% sociaal minimum of hoger"	""						
""	""	""	"10"	"Inkomen onbekend"	""						
"HHWelvG"	"Welvaart van het huishouden (10% groepen)"	"P"	""	""	"Zie tabblad Toelichting."						
""	""	""	"1"	"Eerste 10% groep"	""						
""	""	""	"2"	"Tweede 10% groep"	""						
""	""	""	"3"	"Derde 10% groep"	""						
""	""	""	"4"	"Vierde 10% groep"	""						
""	""	""	"5"	"Vijfde 10% groep"	""						
""	""	""	"6"	"Zesde 10% groep"	""						
""	""	""	"7"	"Zevende 10% groep"	""						
""	""	""	"8"	"Achtste 10% groep"	""						
""	""	""	"9"	"Negende 10% groep"	""						
""	""	""	"10"	"Tiende 10% groep"	""						
""	""	""	"11"	"Welvaart onbekend"	""						
"HHRijbewijsAu"	"Aantal autorijbewijzen in huishouden"	"P"	""	""	""						
""	""	""	"0"	"Geen autorijbewijzen"	""						
""	""	""	"1..8"	""	""						
""	""	""	"9"	"9 autorijbewijzen of meer"	""						
""	""	""	"10"	"Onbekend"	""						
"HHRijbewijsMo"	"Aantal motorfietsrijbewijzen in huishouden"	"P"	""	""	""						
""	""	""	"0"	"Geen motorfietsrijbewijzen"	""						
""	""	""	"1..8"	""	""						
""	""	""	"9"	"9 motorfietsrijbewijzen of meer"	""						
""	""	""	"10"	"Onbekend"	""						
"HHRijbewijsBr"	"Aantal bromfietsrijbewijzen in huishouden"	"P"	""	""	""						
""	""	""	"0"	"Geen bromfietsrijbewijzen"	""						
""	""	""	"1..8"	""	""						
""	""	""	"9"	"9 bromfietsrijbewijzen of meer"	""						
""	""	""	"10"	"Onbekend"	""						
"OPRijbewijsAu"	"OP bezit rijbewijs auto"	"P"	""	""	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Onbekend"	""						
"OPRijbewijsMo"	"OP bezit rijbewijs motorfiets"	"P"	""	""	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Onbekend"	""						
"OPRijbewijsBr"	"OP bezit rijbewijs bromfiets"	"P"	""	""	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Onbekend"	""						
"HHAuto"	"Aantal personenauto's in huishouden"	"P"	""	""	"Inclusief leaseauto's."						
""	""	""	"0..8"	""	""						
""	""	""	"9"	"9 personenauto's of meer"	""						
""	""	""	"10"	"Onbekend"	""						
"HHAutoL"	"Aantal personenauto’s geleased of op naam van een bedrijf in huishouden"	"P"	""	""	""						
""	""	""	"0..8"	""	""						
""	""	""	"9"	"9 personenauto's of meer"	""						
""	""	""	"10"	"Onbekend"	""						
"OPAuto"	"Aantal personenauto’s op naam OP"	"P"	""	""	""						
""	""	""	"0..8"	""	""						
""	""	""	"9"	"9 personenauto's of meer"	""						
""	""	""	"10"	"Onbekend"	""						
"BrandstofPa1"	"Eerste brandstof jongste personenauto op naam huishouden "	"P"	""	""	""						
""	""	""	"1"	"Benzine"	""						
""	""	""	"2"	"Diesel"	""						
""	""	""	"3"	"LPG"	""						
""	""	""	"4"	"Elektrisch"	""						
""	""	""	"5"	"Anders"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet van toepassing; Geen personenauto op naam huishouden"	""						
"XBrandstofPa1"	"Tweede brandstof jongste personenauto op naam huishouden "	"P"	""	""	""						
""	""	""	"0"	"Geen tweede brandstofsoort"	""						
""	""	""	"1"	"Benzine"	""						
""	""	""	"2"	"Diesel"	""						
""	""	""	"3"	"LPG"	""						
""	""	""	"4"	"Elektrisch"	""						
""	""	""	"5"	"Anders"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet van toepassing; Geen personenauto op naam huishouden"	""						
"BrandstofEPa1"	"Type elektrische auto jongste personenauto op naam huishouden"	"P"	""	""	""						
""	""	""	"0"	"Geen elektrische auto"	""						
""	""	""	"1"	"Volledig elektrisch"	""						
""	""	""	"2"	"Plug-in hybride"	""						
""	""	""	"3"	"Hybride met enkel opladen tijdens gebruik"	""						
""	""	""	"4"	"Anders"	""						
""	""	""	"5"	"Onbekend"	""						
""	""	""	"6"	"Niet van toepassing; Geen personenauto op naam huishouden"	""						
"BouwjaarPa1"	"Bouwjaar jongste personenauto op naam huishouden"	"P"	""	""	""						
""	""	""	"1885..2023"	""	""						
""	""	""	"9994"	"Onbekend"	""						
""	""	""	"9995"	"Niet van toepassing: Geen personenauto op naam huishouden"	""						
"KBouwjaarPa1"	"Bouwjaarklasse jongste personenauto op naam huishouden"	"P"	""	""	""						
""	""	""	"1"	"2011 of eerder"	""						
""	""	""	"2"	"2012 t/m 2014"	""						
""	""	""	"3"	"2015 t/m 2017"	""						
""	""	""	"4"	"2018 t/m 2020"	""						
""	""	""	"5"	"2021"	""						
""	""	""	"6"	"2022"	""						
""	""	""	"7"	"2023"	""						
""	""	""	"8"	"Onbekend"	""						
""	""	""	"9"	"Niet van toepassing: Geen personenauto op naam huishouden"	""						
"KGewichtPa1"	"Gewichtsklasse jongste personenauto op naam huishouden"	"P"	""	""	""						
""	""	""	"1"	"Minder dan 951 kilogram "	""						
""	""	""	"2"	"951 t/m 1150 kilogram"	""						
""	""	""	"3"	"1151 t/m 1350 kilogram"	""						
""	""	""	"4"	"1351 t/m 1550 kilogram"	""						
""	""	""	"5"	"Meer dan 1550 kilogram"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet van toepassing; Geen personenauto op naam huishouden"	""						
"TenaamPa1"	"Tenaamstelling jongste personenauto op naam huishouden"	"P"	""	""	""						
""	""	""	"1"	"Eigen naam"	""						
""	""	""	"2"	"Ander lid huishouden"	""						
""	""	""	"3"	"Niet van toepassing; Geen personenauto op naam huishouden"	""						
"BrandstofPa2"	"Eerste brandstof een na jongste personenauto op naam huishouden "	"P"	""	""	""						
""	""	""	"1"	"Benzine"	""						
""	""	""	"2"	"Diesel"	""						
""	""	""	"3"	"LPG"	""						
""	""	""	"4"	"Elektrisch"	""						
""	""	""	"5"	"Anders"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet van toepassing; Geen (tweede) personenauto op naam huishouden"	""						
"XBrandstofPa2"	"Tweede brandstof een na jongste personenauto op naam huishouden "	"P"	""	""	""						
""	""	""	"0"	"Geen tweede brandstofsoort"	""						
""	""	""	"1"	"Benzine"	""						
""	""	""	"2"	"Diesel"	""						
""	""	""	"3"	"LPG"	""						
""	""	""	"4"	"Elektrisch"	""						
""	""	""	"5"	"Anders"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet van toepassing; Geen (tweede) personenauto op naam huishouden"	""						
"BrandstofEPa2"	"Type elektrische auto een na jongste personenauto op naam huishouden"	"P"	""	""	""						
""	""	""	"0"	"Geen elektrische auto"	""						
""	""	""	"1"	"Volledig elektrisch"	""						
""	""	""	"2"	"Plug-in hybride"	""						
""	""	""	"3"	"Hybride met enkel opladen tijdens gebruik"	""						
""	""	""	"4"	"Anders"	""						
""	""	""	"5"	"Onbekend"	""						
""	""	""	"6"	"Niet van toepassing; Geen (tweede) personenauto op naam huishouden"	""						
"BouwjaarPa2"	"Bouwjaar een na jongste personenauto op naam huishouden"	"P"	""	""	""						
""	""	""	"1885..2023"	""	""						
""	""	""	"9994"	"Onbekend"	""						
""	""	""	"9995"	"Niet van toepassing: Geen (tweede) personenauto op naam huishouden"	""						
"KBouwjaarPa2"	"Bouwjaarklasse een na jongste personenauto op naam huishouden"	"P"	""	""	""						
""	""	""	"1"	"2011 of eerder"	""						
""	""	""	"2"	"2012 t/m 2014"	""						
""	""	""	"3"	"2015 t/m 2017"	""						
""	""	""	"4"	"2018 t/m 2020"	""						
""	""	""	"5"	"2021"	""						
""	""	""	"6"	"2022"	""						
""	""	""	"7"	"2023"	""						
""	""	""	"8"	"Onbekend"	""						
""	""	""	"9"	"Niet van toepassing: Geen (tweede) personenauto op naam huishouden"	""						
"KGewichtPa2"	"Gewichtsklasse een na jongste personenauto op naam huishouden"	"P"	""	""	""						
""	""	""	"1"	"Minder dan 951 kilogram "	""						
""	""	""	"2"	"951 t/m 1150 kilogram"	""						
""	""	""	"3"	"1151 t/m 1350 kilogram"	""						
""	""	""	"4"	"1351 t/m 1550 kilogram"	""						
""	""	""	"5"	"Meer dan 1550 kilogram"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet van toepassing; Geen (tweede) personenauto op naam huishouden"	""						
"TenaamPa2"	"Tenaamstelling een na jongste personenauto op naam huishouden"	"P"	""	""	""						
""	""	""	"1"	"Eigen naam"	""						
""	""	""	"2"	"Ander lid huishouden"	""						
""	""	""	"3"	"Niet van toepassing; Geen (tweede) personenauto op naam huishouden"	""						
"BrandstofPaL"	"Eerste brandstof leaseauto of personenauto op naam bedrijf in huishouden"	"P"	""	""	""						
""	""	""	"1"	"Benzine"	""						
""	""	""	"2"	"Diesel"	""						
""	""	""	"3"	"LPG"	""						
""	""	""	"4"	"Elektrisch"	""						
""	""	""	"5"	"Anders"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet van toepassing; Geen leaseauto of personenauto op naam bedrijf in huishouden"	""						
"XBrandstofPaL"	"Tweede brandstof leaseauto of personenauto op naam bedrijf in huishouden"	"P"	""	""	""						
""	""	""	"0"	"Geen tweede brandstofsoort"	""						
""	""	""	"1"	"Benzine"	""						
""	""	""	"2"	"Diesel"	""						
""	""	""	"3"	"LPG"	""						
""	""	""	"4"	"Elektrisch"	""						
""	""	""	"5"	"Anders"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet van toepassing; Geen leaseauto of personenauto op naam bedrijf in huishouden"	""						
"BrandstofEPaL"	"Type elektrische auto leaseauto of personenauto op naam bedrijf in huishouden"	"P"	""	""	""						
""	""	""	"0"	"Geen elektrische auto"	""						
""	""	""	"1"	"Volledig elektrisch"	""						
""	""	""	"2"	"Plug-in hybride"	""						
""	""	""	"3"	"Hybride met enkel opladen tijdens gebruik"	""						
""	""	""	"4"	"Anders"	""						
""	""	""	"5"	"Onbekend"	""						
""	""	""	"6"	"Niet van toepassing; Geen leaseauto of personenauto op naam bedrijf in huishouden"	""						
"BouwjaarPaL"	"Bouwjaar leaseauto of personenauto op naam bedrijf in huishouden"	"P"	""	""	""						
""	""	""	"1885..2023"	""	""						
""	""	""	"9994"	"Onbekend"	""						
""	""	""	"9995"	"Niet van toepassing; Geen leaseauto of personenauto op naam bedrijf in huishouden"	""						
"KBouwjaarPaL"	"Bouwjaarklasse leaseauto of personenauto op naam bedrijf in huishouden"	"P"	""	""	""						
""	""	""	"1"	"2011 of eerder"	""						
""	""	""	"2"	"2012 t/m 2014"	""						
""	""	""	"3"	"2015 t/m 2017"	""						
""	""	""	"4"	"2018 t/m 2020"	""						
""	""	""	"5"	"2021"	""						
""	""	""	"6"	"2022"	""						
""	""	""	"7"	"2023"	""						
""	""	""	"8"	"Onbekend"	""						
""	""	""	"9"	"Niet van toepassing; Geen leaseauto of personenauto op naam bedrijf in huishouden"	""						
"KGewichtPaL"	"Gewichtsklasse leaseauto of personenauto op naam bedrijf in huishouden"	"P"	""	""	""						
""	""	""	"1"	"Minder dan 951 kilogram "	""						
""	""	""	"2"	"951 t/m 1150 kilogram"	""						
""	""	""	"3"	"1151 t/m 1350 kilogram"	""						
""	""	""	"4"	"1351 t/m 1550 kilogram"	""						
""	""	""	"5"	"Meer dan 1550 kilogram"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet van toepassing; Geen leaseauto of personenauto op naam bedrijf in huishouden"	""						
"HHMotor"	"Aantal motoren in huishouden"	"P"	""	""	"Inclusief motoren anders dan met twee wielen."						
""	""	""	"0..8"	""	""						
""	""	""	"9"	"9 motorfietsen of meer"	""						
""	""	""	"10"	"Onbekend"	""						
"OPMotor"	"Aantal motoren op naam OP"	"P"	""	""	"Inclusief motoren anders dan met twee wielen."						
""	""	""	"0..8"	""	""						
""	""	""	"9"	"9 motorfietsen of meer"	""						
""	""	""	"10"	"Onbekend"	""						
"HHBrom"	"Aantal bromfietsen in huishouden"	"P"	""	""	"Inclusief bromfietsen anders dan met twee wielen. Exclusief speedpedelecs."						
""	""	""	"0..8"	""	""						
""	""	""	"9"	"9 bromfietsen of meer"	""						
""	""	""	"10"	"Onbekend"	""						
